2021-01-01T06:14:39-05:00	Ad HocEquivalent	18674	1.005
2021-01-06T12:47:17-05:00	SedateImpropriety	19636	3.855
2021-01-17T15:15:48-05:00	Ad HocEquivalent	36541	0.144
2021-01-27T22:51:58-05:00	HallowedBurial	42920	7.08
2021-02-06T04:01:27-05:00	FantasticBill	18312	8.821
2021-02-25T04:55:09-05:00	MightyStream	40802	8.42
2021-03-14T02:05:35-05:00	HandsomelyTechnician	32854	6.337
2021-03-17T02:30:24-04:00	CravenDiscretion	11345	6.687
2021-03-21T04:14:07-04:00	FantasticBill	10332	8.91
2021-03-26T02:09:34-04:00	ConfusedSatisfaction	10308	3.135
2021-04-06T11:42:52-04:00	MightyStream	16236	3.044
2021-04-09T20:11:40-04:00	HallowedBurial	18574	1.542
2021-05-01T07:42:03-04:00	CravenDiscretion	48822	9.746
2021-05-02T15:06:32-04:00	RoomyImmigration	27104	6.5440000000000005
2021-05-07T17:12:34-04:00	CravenDiscretion	39913	0.768
2021-05-16T15:58:48-04:00	RoastedJudo	15686	5.826
2021-05-22T06:05:46-04:00	GarrulousDiesel	24803	1.657
2021-06-13T23:39:19-04:00	HandsomelyTechnician	11789	0.83
2021-06-20T07:19:15-04:00	GarrulousDiesel	41171	7.335
2021-07-03T21:07:22-04:00	HandsomelyTechnician	14073	1.724
2021-07-13T09:49:38-04:00	ColdDead	44413	0.417
2021-07-21T10:57:38-04:00	CravenDiscretion	44742	7.955
2021-07-26T22:39:32-04:00	Ad HocEquivalent	39577	9.072
2021-08-10T15:32:56-04:00	MightyStream	36371	7.902
2021-08-12T18:35:02-04:00	RoomyImmigration	47116	0.248
2021-08-13T08:12:03-04:00	CravenDiscretion	15118	8.795
2021-08-17T22:06:58-04:00	GarrulousDiesel	43649	9.391
2021-08-28T05:06:06-04:00	RichAdvocacy	33362	8.037
2021-08-28T16:21:11-04:00	MightyStream	38175	0.18
2021-09-03T19:18:50-04:00	MightyStream	22472	6.5280000000000005
2021-09-18T00:17:33-04:00	PerpetualSilkworm	11726	0.06
2021-09-20T12:49:35-04:00	CravenDiscretion	22745	7.654
2021-09-20T18:47:03-04:00	RoomyImmigration	19954	0.264
2021-09-22T20:51:00-04:00	PerpetualSilkworm	26630	3.64
2021-09-23T20:57:46-04:00	MightyStream	31284	2.216
2021-09-24T18:25:24-04:00	RoomyImmigration	26155	9.098
2021-09-27T12:54:42-04:00	HandsomelyTechnician	43305	9.438
2021-10-10T03:18:11-04:00	HallowedBurial	43643	8.961
2021-10-12T12:46:14-04:00	ConfusedSatisfaction	47278	0.837
2021-10-16T04:42:58-04:00	RoomyImmigration	34419	2.248
2021-10-17T18:44:51-04:00	ColdDead	31231	5.625
2021-10-20T18:30:35-04:00	RoastedJudo	34367	4.843
2021-11-03T17:59:23-04:00	RoastedJudo	37484	5.454
2021-11-05T06:22:15-04:00	HandsomelyTechnician	18313	3.573
2021-11-06T03:58:10-04:00	GarrulousDiesel	13588	3.616
2021-11-14T12:52:38-05:00	SedateImpropriety	14481	0.766
2021-11-21T13:19:29-05:00	CravenDiscretion	49336	5.267
2021-12-03T11:54:27-05:00	CravenDiscretion	14659	8.418
2021-12-04T17:14:31-05:00	CravenDiscretion	21199	8.175
2021-12-30T20:19:50-05:00	ConfusedSatisfaction	47382	9.568
2022-01-09T09:26:16-05:00	Ad HocEquivalent	30763	0.605
2022-01-24T05:34:33-05:00	HallowedBurial	33486	8.269
2022-01-28T15:17:03-05:00	CravenDiscretion	45659	2.934
2022-01-31T08:00:41-05:00	HallowedBurial	13665	5.517
2022-02-02T09:55:32-05:00	Ad HocEquivalent	23852	1.9929999999999999
2022-03-02T20:19:51-05:00	PerpetualSilkworm	48244	0.601
2022-04-04T12:56:22-04:00	GarrulousDiesel	15454	6.569
2022-04-07T19:55:54-04:00	SlimyNewsletter	43098	4.551
2022-04-23T01:50:08-04:00	CravenDiscretion	22551	7.667
2022-04-27T10:24:46-04:00	Ad HocEquivalent	40269	1.776
2022-06-01T10:44:37-04:00	RoastedJudo	66207	6.523
2022-06-15T21:39:37-04:00	RichAdvocacy	37287	9.176
2022-06-17T14:53:45-04:00	PerpetualSilkworm	27812	5.195
2022-06-21T13:50:45-04:00	RichAdvocacy	14571	6.797
2022-06-22T18:15:54-04:00	FantasticBill	17513	1.006
2022-07-18T01:50:58-04:00	RoomyImmigration	43799	2.359
2022-07-18T03:56:02-04:00	Ad HocEquivalent	26894	0.71
